LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL
Menbudpar	Berikan	Penghargaan kepada Mestro Seni Tradisi dan Anugerah Kebudayaan 2011	Laman_Resmi			
mereka.	Berikan	media, seperti brosur, majalah, buku-buku, VCD/DVD yang menjelaskan peluan	Populer			
Apa masalahnya?	Berikan	"saja, Togar."""" Aku mengusap wajah, Si Kembar memang selalu meminta hal aneh"	Novel			
kami	berikan	adalah memperpanjang	Majalah			
imalisasi LAPOR!, Kementerian PANRB	Berikan	Bimbingan Intensif pada Pemda	Laman_Resmi			
ak perlu menyuruh atau mengajarkan anak-anak di rumah untuk membaca, tetapi	berikan	"mereka contoh dengan menjadi pembaca ulung di rumah."""" ujarnya ."	Laman_Resmi			
uatu yang patut disyukuri karena itu merupakan hal terbaik yang telah Tuhan	berikan	kepada kita. Jabatan merupakan amanah yang diberikan Tuhan kepada kita. Pa	Laman_Resmi	Tuhan	noun	TRUE
Merotasi manajemen dan	berikan	mereka tantangan baru (rotate managementto new challenges). Beri mereka ta	Populer			
~	BERIKAN	aku cahaya, katanya, sesuatu yang dapat membantuku melihat kebenaran.	Cerpen			
tinggi. Jika sualu hari Anda menurunkan standar kualitas yang biasanya Anda	berikan	, maka konsumen akan pergi meninggalkan Anda. Mereka terbiasa dengan kualit	Populer	anda	pro	TRUE
~	Berikan	penjelasan bahwa untuk mengalahkan ketakutan, mereka harus melawannya deng	Populer			
ktur Utama PT Pertamina (Persero) dan pejabat dilingkungan Kementerian ESDM	berikan	bantuan bagi korban banjir di Kecamatan Matraman. Penyerahan bantuan diber	Laman_Resmi			
tapi hukuman di sekolah tidak ada apa-apanya dibandingkan hukuman yang Papa	berikan	. Jangan cuekin kami lagi ya, Pa. Tidak mengapa Zas dan Qon disuruh masuk k	Novel	papa	noun-kinship	TRUE
mati, memerhatikan, dan mencatat dalam hati semua tanggapan yang orang lain	berikan	terhadap dirinya. Seorang anak akan menjadi tahu bagaimana pandangan orang	Buku_Teks	orang lain	noun	TRUE
itik beratkan. Catat juga kekurangan selama pembeli memperhatikan rumah dan	berikan	mereka pandangan Anda.	Populer			
	Berikan	"kesempatan kepada orang yang sedang malingering untuk menyelamatkan muka,"""""	Koran			
warisan kita dari masa lalu, apa yang kita punya hari ini dan apa yang kita	berikan	kepada generasi mendatang (UNESCO 2008). Definisi warisan secara umum suda	Jurnal	kita	pro	TRUE
*	Berikan	amiodaron 5 mg/kg IV atau prokainamid 15 mg/kg IV untuk pasien dengan SVT	Buku_Teks			
~	Berikan	Pembekalan Kepada Siswa SMA TN, Menhan Berpesan Jadilah Pribadi Kesatria d	Laman_Resmi			
ian. Sementara pada bayi hiperaktif, ia tidak merespon rangsangan yang Anda	berikan	dan tetap marah. Jika diberi mainan ia akan membuangnya, meronta saat diti	Populer	anda	pro	TRUE
Jangan diamkan otak.	Berikan	berbagai macam stimulasi positif.	Majalah			
milik petani di Pasat. Mereka melupakan emas yang telah begitu banyak kami	berikan	selagi mereka sekarat dan hampir binasa diinjak-injak serdadu Belanda dan	Novel	kami	pro	TRUE
yani di RSUD Makassar, Yuddy	Berikan	Nomor Ponselnya	Laman_Resmi			
3	Berikan	pelayan yang terbaik, jangan terkesan ala kadarnya. Keramahan juga merupak	Populer			
Akhirnya saya	berikan	kepercayaan kepada bengkel carport untuk mengganti 7 buah bearing pada gig	Koran			
list (?) pada kolom selalu, sering , kadang-kadang, dan tidak pernah, serta	berikan	alasan dilakukannya perilaku itu. Ingat, kalian harus mengisinya sesuai ke	Buku_Teks			
website kita lebih cepat, hal ini akan menjadi nilai tambah yang dapat kita	berikan	bagi pengunjung web.	Populer	kita	pro	TRUE
amun, jika si pelamar mengajukan permintaan gaji di bawah standar yang Anda	berikan	, tetaplah gaji si pelamar sesuai standar. Anggaplah itu bonus baginya.	Populer	anda	pro	TRUE
ku	berikan	padanya. Sejurus kemudian, aku merasa seakan sedang duduk di sebuah bangku	Novel			
apkan bahan ajar agar peserta didik terdorong untuk menggunakan pantun, dan	berikan	penghargaan kepada mereka yang mendedikasikan hidupnya untuk melestarikan	Laman_Resmi			
nyembul batang-batang ilalang. Belalang dan capung serta kupu-kupu itu kami	berikan	kepada Gus Bisri yang memelihara banyak burung jalak. Ada jalak awu, jalak	Cerpen			
~	Berikan	tanda centang (?) pada kolom yang benar dan salah.	Buku_Teks			
kadar memberi tahu Anda bahwa laporan yang Anda buat minggu lalu telah saya	berikan	kepada Pandia untuk dibaca dan ia ingin memastikan bahwa Anda tahu mengena	Populer	saya	pro	TRUE
~	Berikan	penjelasan singkat perubahan yang dibuat Perusahaan Asuransi	Surat_Resmi			
~	Berikan	Perlindungan Sesuai Umur	Majalah			
harga properti yang ditetapkannya dan menanyakan tentang pendapat kita maka	berikan	"jawaban, """"Menurut pendapat Bapak/Ibu, bagaimana tentang harga tersebut?"""""	Populer			
Apakah Anda juga sepakat, bahasa Melayu dijadikan sebagai bahasa Indonesia!	Berikan	alasannya!	Buku_Teks			
, keletihan dan kelemahan yang berlebihan, diaporesis, pusing atau pingsan.	Berikan	dorongan untuk melakukan aktivitas dan perawatan diri bertahap jika dapat	Disertasi_Tesis_Skripsi			
* Pertahankan jalan nafas,	berikan	nafas dan sirkulasi. Berikan oksigen, pasang monitor EKG/defibrilator dan	Buku_Teks			
"cara jujur dan transparan karakteristik organisasi Anda; apa yang bisa Anda"	berikan	dan apa yang tidak.	Populer	anda	pro	TRUE
pohon dan lain sebagainya. Sebagai contoh pertanyaan terbuka yang bisa Anda	berikan	"adalah """"Dimana burung?"""""	Populer	anda	pro	TRUE
~	Berikan	tanda centang (?) pada kolom yang benar dan salah.	Buku_Teks			
78	Berikan	fasilitas untuk saluran bebas SUJ	Populer			
~	Berikan	perhatian positif terhadap tindakan bermain yang dilakukan oleh anak. Misa	Populer			
engan penataan unsur-unsur visualnya secara sederhana maupun yang kompleks.	Berikan	contoh karya seni rupa tradisional maupun modern, karya seni rupa daerah,	Buku_Teks			
Dalam laporan arida,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
saya sayang sekali dengan Mas. Saya terima kasih sekali atas semua yang Mas	berikan	"pada saya. Tentang perubahan dalam hidup saya sampai jadi begini."""""	Biografi	mas	noun-kinship	TRUE
utuh, komprehensif, dan bermakna. Belajar PKn yang lebih bermakna tentu mem	berikan	hasil belajar pengetahuan dan nilai-nilai kewarganegaraan yang lebih baik	Jurnal			
guh sulit. Apa yang akan anda lakukan bila berada dalam posisi seperti itu?	Berikan	argumentasi anda!	Buku_Teks			
tama lebih dari lelaki yang baru datang itu. Tapi bukan itu jawaban yang ia	berikan	.	Novel	ia	pro	TRUE
kan permasalahan berikut kemudian	berikan	tanggapan kalian dengan mempertimbangkan berbagai aspek!	Buku_Teks			
ak mampu membuat solusi yang baik, mereka hanya mampu meniru cara yang guru	berikan	, banyak siswa yang kesulitan dalam menghadapi masalah terbuka, serta siswa	Jurnal	guru	noun	TRUE
telah diadakannya referendum damai pada 21 Januari lalu. Referendum itu mem	berikan	otonomi kepada masyarakat Muslim Mindanao kecuali kelom pok Abu Sayyaf.	Koran			
dhi wanaj'alahum a-immatan wanaj'ala hu mu alwaaritsiina(Dan Kami ingin mem	berikan	anugerah kepada orang-orang yang tertindas di muka bumi ini, men jadikan m	Koran			
melakukan berbagai tes psikologis lanjutan selama beberapa waktu ke depan.	Berikan	tanda centang pada kolom bagian kanan.	Populer			
3. Untuk EFE	berikan	rating untuk masing-masing faktor dengan skala mulai dari 4 (respon kuat)	Disertasi_Tesis_Skripsi			
pang! Jika ada yang menghinamu,	berikan	"senyuman termanismu padanya, dan bilang, """"Terima kasih sudah memotivasiku,"	Populer			
Kemhan Berkomitmen untuk	Berikan	Perlindungan dan Bantuan Hukum kepada Pegawai Kemhan	Laman_Resmi			
*	Berikan	fenitoin 15-20 mg/kgBB intravena diencerkan dengan NaCl 0,9% diberikan den	Buku_Teks			
Duduklah bersama anak,	berikan	selembar kertas dan sebuah pensil atau krayon. Ajarkan anak untuk memegang	Populer			
utan kecil dari Bapak Sugiyono. Kepada Bapak Sugiyono waktu dan tempat kami	berikan	.	Novel			
harus dikurangi dengan persentase haircut, sedangkan nilai agunan yang Bank	berikan	kepada pihak lawan (counterparty) harus ditambah dengan persentase haircut	Surat_Resmi	bank	noun	TRUE
kata secara tepat	berikan	latihan khusus pengucapan kata-kata tertentu yang dipandang sulit.	Populer			
nda untuk senantiasa saling menukar kartu nama dengan orang-orang tersebut.	Berikan	semacam rewarcf, misalnya voucher diskon makan di restoran apabila orang-o	Populer			
"yang kini hampir menyentuh Rp 100 ribu per kilogram. """"Izin yang sudah kita"	berikan	untuk cabai itu 330 ton. Sebenarnya, kebutuhannya 1.000 ton, tapi yang min	Koran	kita	pro	TRUE
d. Buatlah analisis perbandingan antara kedua bagan struktur tersebut, dan	berikan	komentar tertulis.	Buku_Teks			
* Saat melakukan RJP,	berikan	amiodaron atau lidokain bila amiodarone tidak  tersedia	Buku_Teks			
an diri kita. Kebahagiaan adalah saat mensyukuri deretan karunia yang Allah	berikan	, bukan saat menginginkan apa yang tidak dimiliki. Kata-kata itu begitu kua	Cerpen	Allah	proper_noun	TRUE
n bekal kompetensi dan inovasi melalui berbagai program pelatihan yang kami	berikan	","""" kata Direktur Jenderal Industri Kecil, Menengah dan Aneka (IKMA) Kemenpe"	Laman_Resmi	kami	pro	TRUE
a.	Berikan	"aku 1 pemuda yang cinta tanah air, niscaya akan kuguncangkan dunia."""" - Soe"	Majalah			
banyak kata-kata yang diadengar, semakin banyakkosakatayangdikembangkannya.	Berikan	perintah sederhana.	Populer			
b.	Berikan	Bobot (B) kepada setiap faktor yang menunjukkan tingkat kepentingannya ter	Populer			
~	Berikan	contoh konkret.	Koran			
i- laki maupun perempuan dalam keadaan beriman, maka sesungguhnya akan Kami	berikan	kepadanya kehidupan yang baik dan sesungguhnya akan Kami beri balasan kepa	Buku_Teks			
Bukti-bukti!	Berikan	bukti-bukti bahwa rumah ini adalah yang terbaik untuk memenuhi kebutuhan m	Populer			
"h saatnya kita menyerang balik, Tauke Besar."""" Togar mengepalkan tangannya, """""	Berikan	perintah itu, aku akan mengirim seratus tukang pukul terbaik Keluarga Tong	Novel			
dengan ukuran mobil dan	berikan	~	Majalah			
mendinginkannya.	Berikan	obat	Majalah			
ian surat permohonan izin ini saya buat. Atas perhatian dan izin yang Bapak	berikan	, saya ucapkan banyak terima kasih. Tak lupa kami sekeluarga mengucapkan mo	Buku_Teks	bapak	noun-kinship	TRUE
gera bergerak setelah satu map berisi sejumlah dokumen yang diperlukan saya	berikan	padanya. Saya kemudian melupakan itu. Tak mungkin, pikir saya. Saya telah	Biografi	saya	pro	TRUE
ek QRS semakin melebar. Pada pasien dengan keadaan hemodinamik tidak stabil	berikan	kardioversi energi mulai 0,5 sampai 1 J/kg. Jika gagal, naikkan dosis menj	Buku_Teks			
i. Apa yang kita terima, nilai besar kecilnya tergantung pada apa yang kita	berikan	. Misalnya, dalam membeli suatu barang, lazimnya kualitas dan kuantitas sua	Populer	kita	pro	TRUE
s pesantren. Tapi karena Kang Sayuti bingung soal hukuman apa yang harus ia	berikan	kepada penulis tiga kata di kamar mandi nomor dua itu, ia harus menanyakan	Cerpen	ia	pro	TRUE
ati proses perkembangan buah hati Anda. Bila ia sudah mau duduk menggambar,	berikan	pujian padanya meskipun gambarnya tidak berbentuk. Hal ini akan memberinya	Populer			
erasakan kasih yang di-	berikan	oleh Ny. Lie. Mereka menganggap sosok perempuan yang sering mengenakan keb	Biografi			
n ini untuk permainan mencocokkan huruf. Tulis sebuah huruf di atas kertas,	berikan	kepada anak Anda dan mintalah ia untuek mencari huruf bermagnet yang sama.	Populer			
gkatan tinggi karena pada saat pengambilan data untuk pengisian angket yang	berikan	kepada peserta didik tidak dalam berlangsungnya pembelajaran melainkan pad	Disertasi_Tesis_Skripsi			
tikan membuat konflik cerita dalam novel-novelnya bertambah kuat, atau mem-	berikan	efek dramatis, sehingga pembaca terus dibawa hanyut ingin mengetahui bagai	Koran			
bersikap wajar dan jangan mendiskriminasi atau memberikan cap negatif, dan	berikan	"dukungan; dan"	Laman_Resmi			
3. Tolong	berikan	contoh lingkunganmu yang mengalami perubahan.	Buku_Teks			
ja keputusan itu hasil dari pengertian yang diberikan oleh orangtua, tetapi	berikan	kepercayaan kepada anak itu untuk memutuskan. Kalau ternyata akibat yang d	Populer			
menurut anda adakah hal-hal lain yang dapat dijadikan alternatif? Sebut dan	berikan	penjelasan!	Buku_Teks			
ai harganya. Itulah yang dinamakan kesempurnaan nikmat yang telah Allah SWT	berikan	kepada orang-orang yang beriman semasa hidupnya dan berlanjut kepada kehid	Populer	Allah SWT	proper_noun	TRUE
mpil. Dalam kondisi seperti ini kamu bisa memilih respon apa yang akan kamu	berikan	.	Populer	kamu	pro	TRUE
g lebih 150 kg/ha (300-400 kg DS/ha). Untuk lainnya, K tak diperlukan lagi.	Berikan	N dua atau satu kali. Pemberian pupuk dengan cara memasukkan pada lubang a	Populer			
kelas secara bersama (Suharsimi Arikunto, dkk, 2002). Tindakan tersebut di	berikan	oleh guru atau dengan arahan dari guru yang dilakukan oleh siswa. Peneliti	Disertasi_Tesis_Skripsi			
rbeda dengan anak hiperaktif yang terkesan cuek dengan rangsangan yang Anda	berikan	.	Populer	anda	pro	TRUE
~	Berikan	penjelasan singkat perubahan yang dibuat Perusahaan Asuransi	Surat_Resmi			
Berikut penulis	berikan	blueprint untuk menciptakan suatu sistem:	Populer			
yang cukup lama itu, ada bayi yang gelisah dan berkeliaran ke tempat lain.	Berikan	mainan yang menarik untuknya agar bisa duduk dalam waktu yang lama. Pendud	Populer			
h kecukupan nutrisi kalau terbiasa menjadi pemakan segala. Semua yang Tuhan	berikan	di atas bumi ini hendaknya dimanfaatkan untuk sepenuhnya kebutuhan tubuh.	Majalah	Tuhan	noun	TRUE
luruh bank umum dalam menetapkan berapa besar bunga kredit yang akan mereka	berikan	, juga termasuk patokan bagi leasing, asuransi, dan berbagai perusahaan keu	Novel	mereka	pro	TRUE
Berikut saya	berikan	contoh menu 1400 kkal yang dapat Amelia variasikan :	Koran			
rubrik TRENDING kami	berikan	informasi	Majalah			
di, harus ada assessment-nya. Tidak serta-merta dari pengakuan mereka, kita	berikan	"insentif,"""" terang Airlangga."	Laman_Resmi			
ngi penghantaran impuls ini sudah mulai terbentuk, maka stimulasi yang Anda	berikan	bertujuan membuat janin Anda lebih cerdas sedini mungkin.	Populer	anda	pro	TRUE
elah diatur. Jelaskan pada yang lain bahwa Anda membutuhkan data mereka dan	berikan	kelonggaran waktu jika penyerahan terlambat.	Populer			
iman tersebut adalah dengan rasa syukur atas setiap rezeki yang telah Tuhan	berikan	. Bersyukur merupakan keharusan yang tidak bisa Anda hindari jika Anda ingi	Populer	Tuhan	noun	TRUE
~	Berikan	fasilitas agar anak dapat mengenali berbagai jenis profesi, misalnya lewat	Majalah			
ial. Tawarkan pelayanan terbaik dan beri tahu mereka inilah yang dapat Anda	berikan	.	Populer	anda	pro	TRUE
mperlambat konduksi ventrikular (melebarkan QRS). Monitor tekanan darah dan	berikan	secara pelan- pelan untuk penderita dengan denyut nadi tetapi mungkin saja	Buku_Teks			
nda akan melanjutkan membantu mereka untuk mencari rumah yang baru. Kembali	berikan	penilaian atas mereka dan aturlah properti untuk ditunjukkan pada mereka.	Populer			
litas-kualitas yang harus dimiliki oleh seorang pemimpin kepada mereka, dan	berikan	contoh-contoh nyata tentang apa yang harus dilakukan oleh seorang pemimpin	Populer			
~	Berikan	kesempatan anak membuat perubahan dalam kehidupan mereka	Populer			
"a (PPI) di Riyadh. """"Supaya mereka yang sudah sekolah dan punya potensi kita"	berikan	ruang dalam kebahasaan. Mencoba menerjemahkan ke bahasa Arab, bagaimana se	Laman_Resmi			
kecintaan kami kepada segenap keluarga besar MTsN 2 Kota Palu.Bantuan kami	berikan	"kepada orangtua dan keluarga dari wali murid,"""" tandas Muh Sarib."	Laman_Resmi	kami	pro	FALSE
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
antian. Berikan tanggapan Anda pada saat teman Anda membaca puisi tersebut.	Berikan	tanggapan Anda terhadap pembacaan teman Anda dengan bahasa yang santun. Pe	Buku_Teks			
Menteri ESDM	Berikan	Keynote Speech Rapat Kerja tahunan SKK Migas	Laman_Resmi			
anjut Gufran, perlu diingat pepatah yang mengatakan alah bisa karena biasa.	Berikan	hadiah kepada anak-anak yang senang membaca supaya mereka semakin termotiv	Laman_Resmi			
pertama yang kita	berikan	kepada	Majalah	kita	pro	TRUE
5. Tuliskan laporanmu dan	berikan	kepada gurumu!	Buku_Teks			
iaan yang Ayah	berikan	di masa kecil kami telah membesarkan kami semua dengan kebahagiaan yang se	Biografi	ayah	noun-kinship	TRUE
dapat menyediakan lahan agar siswa dapat belajar di tenda. Nanti kita akan	berikan	"tenda standar internasional untuk ruang kelas sementara,"""" ujar Mendikbud."	Laman_Resmi			
ng, dan memusuhi kami secara kejam setelah semua yang mereka kehendaki kami	berikan	.	Novel	kami	pro	TRUE
berarti akses baru yang kita	berikan	hanya untuk mengelola artikel saja. Sedangkan, jika Anda ingin akses baru	Populer	kita	pro	TRUE
dalah bahwa beliau pandai sekali membuat saya merasa istimewa. Semoga Allah	berikan	kesehatan dan keselamatan dunia akhirat, serta diberikan keberkahan pada s	Biografi			
Setelah memahami cerita di atas,	berikan	pendapatmu makna yang terkandung dalam cerita tersebut. Tuliskan pada lemb	Buku_Teks			
han es krim menyentuh punggung tanganku. Ia juga tidak akan marah kalau aku	berikan	es krim padamu.	Cerpen			
balah bersabar dan positif, berikan dia pujian atas usaha yang dia lakukan.	Berikan	pengertian pada anak bahwa menjadi seorang penulis yang baik sangat membut	Populer			
menyinari bumi ini memberikan ketenangan hatiku. Seperti keteduhan yang kau	berikan	padaku.	Buku_Teks	kau	pro	TRUE
Entahlah, aku bingung. Tuhan,	berikan	petunjuk pada hamba yang lemah ini. Warjo menutup malamnya dengan doa yang	Cerpen			
terkait dengan layanan jasa yang kami tawarkan lewat blog pribadi akan kami	berikan	label Jasa. Cara membuatnya:	Populer	kami	pro	TRUE
nyelesaikan pekerjaannya. Bagi Lurah Kurdi dan keluarganya upah yang mereka	berikan	cukup setimpal dengan pekerjaan Inay. Selain mendapatkan kenikmatan dicabu	Cerpen	mereka	pro	TRUE
un sempat kita lupakan hingga benar-benar terpuruk. Inilah uang yang kalian	berikan	dua-tiga tahun lalu dan menjelma menjadi sekolah kebanggaan berstandar int	Biografi	kalian	pro	TRUE
lnya, jika Anda hanya membutuhkan dana sebesar lima juta, jaminan yang Anda	berikan	cukup sebuah sepeda motor yang taksiran harganya kurang lebih sejumlah itu	Populer	anda	pro	TRUE
rkini, membeli motor yang lebih bagus, membeli laptop baru, dan sebagainya.	Berikan	target bagi diri Anda sendiri untuk mencapainya dalam waktu 1 tahun.	Populer			
tahu kompetensi apa yang mereka punyai dan kontribusi apa yang bisa mereka	berikan	. Mereka memiliki motivasi yang tinggi untuk berprestasi dan sudah membukti	Populer	mereka	pro	TRUE
mungkinan besar prospek akan merasa kurang yakin karena informasi yang Anda	berikan	tidak lengkap atau memuaskan prospek. Memang untuk mahir berbicara membutu	Populer	anda	pro	TRUE
dan nyawa untuk kehidupan kita. Bakti adalah balasan minimal yang bisa Anda	berikan	pada orangtua. Maka saat Anda memutuskan resign, pastikan amal baik dan ba	Populer	anda	pro	TRUE
yang belum mengenal siapa sebenarnya Ismail Marzuki dan kiprah apa yang ia	berikan	bagi integrasi Indonesia. Maka tokoh Ismail Marzuki ini akan juga kita bah	Buku_Teks	ia	pro	TRUE
ta yang diberikan temannya itu tidak akan seagung dan semulia cinta yang ia	berikan	, itu tidak masalah baginya. Selain itu, dengan melepaskan burung itu ke sa	Cerpen	ia	pro	TRUE
mungkinkan dan realistis. Berikan argumentasi yang runtut. Alangkah baiknya	berikan	best prctices praktik energi terbarukan di Negara lain.	Buku_Teks			
nuliskan penawaran. Jelaskan pada pembeli bahwa cek/bilyet giro yang mereka	berikan	dalam penawaran membantu untuk menunjukkan pada penjual bahwa mereka adala	Populer	mereka	pro	TRUE
a aku	berikan	kepada anak-anak yang bisa disediakan seorang ibu langsung, Rosie. Semua t	Novel			
Indonesia!	Berikan	sebuah pendapat yang bisa dipertanggungjawabkan!	Buku_Teks			
utri Jawa, pasti suka pakaian. Pakaian-pakaian dari Korea itu kemudian saya	berikan	kepada Anita untuk dijual. Tapi, sampai pakaian itu terjual habis, uangnya	Biografi	saya	pro	FALSE
g yang berhasil ia dapatkan setiap harinya. Jika ada kelebihan, tak lupa ia	berikan	kelebihan itu untuk disedekahkan. Bas memang baik. Melihat ini aku tak per	Cerpen			
"amu dustakan?"""" Maka kita harus selalu bersyukur dengan apa yang Allah telah"	berikan	pada kita. Dan waktu merupakan nikmat Allah yang amat besar nilainya. Ada	Populer	Allah	proper_noun	TRUE
ikan tanda (x) untuk program yang kamu harapkan dapat diadakan di gerejamu!	Berikan	pula alasannya mengapa kamu menginginkan program-program itu!	Buku_Teks			
lislah dengan indah motto hidupmu!	Berikan	sedikit penjelasan!	Buku_Teks			
ya, orang dekatnya, agar kita tahu seberapa persis informasi yang telah dia	berikan	, seberapa serius kerusakan yang telah terjadi. Jika Chen, misalnya, telah	Novel	dia	pro	TRUE
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
0,01 mg/kg (0,1ml/kg larutan 1:10000) atau jika tidak terdapat akses vena,	berikan	secara endotrakeal 0,1 mg/kg (0,1 ml/kg larutan 1:1000)	Buku_Teks			
~	Berikan	contoh mengekspresikan berbagai emosi dan mengendalikan ketakutan	Populer			
ikan bakal mengevaluasi kembali pekerjaan Polri setelah batas waktu yang ia	berikan	habis. Selanjutnya, ia akan memutuskan apakah akan membentuk tim gabungan	Koran	ia	pro	TRUE
bagian itu dengan Uraian 1 sampai dengan Uraian 4 pada kolom sebelah kanan.	Berikan	pendapat Anda, apakah setiap bagian yang dicetak tebal dapat menggambarkan	Buku_Teks			
3	Berikan	kesimpulan dan alasan, mengapa kita tidak boleh melanggar pranata yang ada	Buku_Teks			
ng telah dirumuskan dalam program ciri-ciri olahragawan sejati. Sebaliknya,	berikan	hukuman dan penekanan pada perilaku-perilaku yang tidak tepat. Penting unt	Jurnal			
kan	berikan	jika Anda memutuskan untuk tidak menceritakan hal yang sebenarnya. Pertama	Buku_Teks			
~	Berikan	contoh/ilustrasi untuk konsep yang Anda sampaikan. Jika dalam tulisan Anda	Populer			
ntuk cincin atau sedotan berwarna-warni yang dipotong dengan ukuran sedang.	Berikan	tali sepatu atau tali rafia dan minta anak untuk memungut dan merangkai ce	Populer			
erian ASI. Tambahkan macam makanan setelah anak berumur 9 bulan atau lebih.	Berikan	makanan lebih sering (4 kali sehari). Setelah anak berumur 1 tahun, berika	Disertasi_Tesis_Skripsi			
bih nyaman dan leluasa melakukan presentasi tanpa upline-nya, biarkan saja.	Berikan	kelonggaran kepada downline tersebut untuk melakukan presentasi menurut ca	Populer			
Si Om cuman	berikan	tangan untuk dicium. Hari sudah larut masuk ke 1 Oktober. Mang Lion langsu	Biografi			
mu bertanya apa yang diberikan negara kepadamu, tapi tanyakan apa yang kamu	berikan	"kepada negaramu."""" Kita bangsa Indonesia, harus berani introspeksi dan tida"	Biografi	kamu	pro	TRUE
n, tuliskan judul lagu yang telah kamu dengarkan, jenis tangga nadanya, dan	berikan	penjelasan mengenai lagunya.	Buku_Teks			
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
4	Berikan	pujian dan pengakuan untuk hal-hal yang dicapai oleh mereka. Menunjukkan p	Buku_Teks			
atribut pertama yang kita	berikan	~	Majalah	kita	pro	TRUE
Membentuk kecerdasan emosional melalui sentuhan dan suara lembut yang Anda	berikan	. Hal ini akan membentuk suatu keharmonisan yang indah.	Populer	anda	pro	TRUE
lebar tangga.	Berikan	engsel di sisi kanan pintu dan tambahan	Majalah			
rima kekalahan tersebut sesuai dengan prinsip- prinsip Demokrasi Pancasila?	Berikan	alasan kalian.	Buku_Teks			
hubungan baik dengan mereka. Aku menjaga baik-baik kepercayaan yang mereka	berikan	.	Biografi	mereka	pro	TRUE
ukanlah bagian Anda. Paparkan fakta yang ada dan bukan opini Anda, kemudian	berikan	solusi.	Populer			
~	Berikan	perlengkapan meronce kepada anak (benang, dan aneka benda yang bisa dimasu	Populer			
-	Berikan	oksigen	Buku_Teks			
"k-titik skala penilaian (q) dimana r = 1,2 ..., m;q = 1,2,..,n. Selanjutnya"	Berikan	penilaian kemungkinan risiko oleh setiap pakar k = 1,2,...r untuk seluruh	Jurnal			
enda pat kan persetujuan dari jaksa agung. Jak sa agung dapat menerima, mem	berikan	, atau menolak pemberian izin.	Koran			
d.	Berikan	20 ml/kg untuk berat selebihnya dalam kilogram	Disertasi_Tesis_Skripsi			
Apa yang akan Tuhan	berikan	?	Cerpen	Tuhan	noun	TRUE
terbuka luas. Jangan sampai Anda menyia-nyiakan kesempatan yang masih Tuhan	berikan	kepada Anda. Mulailah satu kata, yang kelak akan menjadi fondasi gurita bi	Populer	Tuhan	noun	TRUE
ak diajukan,	berikan	alasannya pada kolom	Surat_Resmi			
Jangan dengarkan omongan orang, yang penting kerja, kerja, dan kerja serta	berikan	yang terbaik dari hidupmu Kerja akan menghasilkan sesuatu, sementara omong	Populer			
urang. Pada umumnya, ketika batas waktu yang Anda tentukan menjadi masalah,	berikan	lebih banyak waktu sedikitnya 20% pada diri Anda sendiri untuk introspeksi	Populer			
lu banyak informasi kepada prospek Anda. Semakin banyak informasi yang Anda	berikan	, semakin besar kemungkinan prospek Anda membatalkan janji dan tidak hadir	Populer	anda	pro	TRUE
pendapat kamu, apakah kamu setuju kalau orang membangun gereja yang mewah?	Berikan	pendapatmu? Coba bahas masalah ini dalam kelompok.	Buku_Teks			
sjid Demak hendaknya bersama para utusan Kesultanan Demak Bintoro yang kami	berikan	tugas untuk memberikan surat ini. Jika kamu tidak bersedia untuk menghadap	Biografi	kami	pro	TRUE
apps, kamu bisa	berikan	info seputar website yang kamu miliki. Jika sudah lanjutkan ke proses beri	Populer			
nggung, jangan langsung berbicara, namun lihatlah sejenak audiens. tak lupa	berikan	senyum terbaikmu. Setelah dirasa siap, barulah kamu mulai berbicara. Buatl	Populer			
akan diajukan, serta	berikan	alasan (Contoh : TIDAK - Tugas Belajar/Sakit/Keluar/Sudah	Surat_Resmi			
gah ketika memberi kepada siapa pun. Apapun yang bisa mereka pinjamkan atau	berikan	, pasti akan mereka serahkan tanpa ragu. Sebuah keluarga yang luar biasa!	Cerpen	mereka	pro	TRUE
~	Berikan	pengetahuan dari keterampilan.	Majalah			
Jika anak Anda sudah bisa membaca,	berikan	pesan dalam secarik kertas sehingga ia akan mengerti bahwa tulisan dapat m	Populer			
n bayi, kemudian	berikan	komentar (commenting).	Populer			
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran perm	Buku_Teks			
mperhatikan dan memberikan pertolongan dalam bentuk apa pun yang dapat kita	berikan	, sebagai wujud kepedulian dan tanggung jawab kita di tengah-tengah masyara	Buku_Teks	kita	pro	TRUE
Di bagian email me whenever:	berikan	tanda centang pada anyone posts a comment dan a comment is held for modera	Populer			
akses vena, berikan amil nitrit per inhalasi. Setelah akses vena terpasang,	berikan	Na-nitrit 10 mg/kg atau 0,33 mL/kg larutan Na-nitrit 3%, untuk menghasilka	Buku_Teks			
