LEFT	NODE	RIGHT	GENRE	RELEVAN	STEM	AGENT_ENCODED	AGENT_PHRASE_TYPE	AGENT_ANIMACY	AGENT_CATEGORY	INTERCEPTION_BEFORE_AGENT
r. Padat penebaran atas berat ikan yang dipelihara	ditentukan	oleh tingkat intensitas usaha. Apabila lele diusa	Populer	TRUE	tentu-kan	TRUE	oleh_phrase	inanimate	abstraction	FALSE
ran sebagaimana dimaksud pada angka 1 dan angka 2,	disampaikan	kepada Otoritas Jasa Keuangan secara luar jaringa	Surat_Resmi	TRUE	sampai-kan	FALSE				
dari Daftar LAPS sebagaimana dimaksud pada angka 3	disampaikan	OJK kepada LAPS melalui surat.	Surat_Resmi	TRUE	sampai-kan	TRUE	np	inanimate	institution/organisation	FALSE
3	Dimiliki	hingga jatuh tempo	Surat_Resmi	TRUE	milik-i	FALSE				
	diperoleh	perusahaan saat ini baik secara kualitatif maupun	Surat_Resmi	TRUE	per-oleh	TRUE	np	inanimate	institution/organisation	FALSE
~	Ditetapkan	di Jakarta	Surat_Resmi	TRUE	tetap-kan	FALSE				
tahun terakhir sebelum	dicalonkan	"; dan/atau"	Surat_Resmi	TRUE	calon-kan	FALSE				
2	Direksi	"Perusahaan Efek;"	Surat_Resmi	FALSE						
PS dianggap tidak menyampaikan laporan sebagaimana	dimaksud	angka 2 apabila sampai dengan 1 (satu) periode pe	Surat_Resmi	TRUE	maksud	FALSE				
formasi sebagaimana dimaksud pada huruf b angka 2)	disampaikan	melalui surat elektronik dan/atau melalui sistem	Surat_Resmi	TRUE	sampai-kan	FALSE				
an format 2 Lampiran POJK Nomor 1/POJK.05/2017 dan	ditandatangani	oleh Direksi.	Surat_Resmi	TRUE	tanda tangan-i	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
g-Undang Informasi dan Transaksi Elektronik) dapat	dijadikan	sebagai alat bukti dalam hukum acara Peradilan Ta	Surat_Resmi	TRUE	jadi-kan	FALSE				
Berharga Syariah yang	Diterbitkan	oleh Bank	Surat_Resmi	TRUE	terbit-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
terangan tambahan (bila	diperlukan	):	Surat_Resmi	TRUE	perlu-kan	FALSE				
nilai jual per unit investasi pada saat transaksi	dilakukan	, setelah itu dikurangi dengan biaya dan fee BUS,	Surat_Resmi	TRUE	laku-kan	FALSE				
Holding	disampaikan	kepada Bank Indonesia dengan alamat:	Surat_Resmi	TRUE	sampai-kan	FALSE				
ini diisi dengan tanggal dimulainya pendanaan yang	diterima	Perusahaan Modal Ventura Syariah pelapor atau UUS	Surat_Resmi	TRUE	terima	TRUE	np	inanimate	institution/organisation	FALSE
(enam puluh) hari kerja setelah dokumen permohonan	diterima	secara lengkap.	Surat_Resmi	TRUE	terima	FALSE				
ggota Direksi pada Bank Syariah yang bersangkutan,	Direktur	UUS yang bersangkutan, dan pemimpin Kantor Perwak	Surat_Resmi	FALSE						
~	Direktorat	Hukum	Surat_Resmi	FALSE						
tanggal perusahaan	didirikan	:	Surat_Resmi	TRUE	diri-kan	FALSE				
n atau penyimpangan dalam kegiatan usaha Bank yang	ditemukan	"oleh SKAI;"	Surat_Resmi	TRUE	temu-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
menuhi persyaratan prakualifikasi maka tidak dapat	diundang	untuk mengikuti tahapan proses pelelangan selanju	Surat_Resmi	TRUE	undang	FALSE				
Aset Produktif dan Aset Non Produktif selanjutnya	dirinci	berdasarkan`kualitasnya, yaitu Lancar (L), Dalam	Surat_Resmi	TRUE	rinci	FALSE				
c)	Direksi	harus memastikan bahwa IKNB Syariah memiliki aset	Surat_Resmi	FALSE						
ari direktur yang membawahkan fungsi kepatuhan dan	direktur	yang membawahkan fungsi manajemen risiko, bahwa:	Surat_Resmi	FALSE						
6) tidak pernah	dinyatakan	pailit dan/atau tidak pernah menjadi pemegang sah	Surat_Resmi	TRUE	nyata-kan	FALSE				
~	Ditetapkan	di Jakarta	Surat_Resmi	TRUE	tetap-kan	FALSE				
cian besarnya masing-masing kepemilikan saham yang	disertai	dengan dokumen pendukungnya yang menunjukkan pers	Surat_Resmi	TRUE	serta-i	FALSE				
KA yang telah diberikan, dalam hal dikemudian hari	ditemukan	antara lain:	Surat_Resmi	TRUE	temu-kan	FALSE				
fikasi bukti, data, dan/atau informasi sebagaimana	dimaksud	pada angka 1 huruf a, paling lambat 10 (sepuluh)	Surat_Resmi	TRUE	maksud	FALSE				
Cadangan yang harus	dibentuk	sebesar persentase tertentu dari baki debet berda	Surat_Resmi	TRUE	bentuk	FALSE				
euangan yang telah	diaudit	periode [.........]	Surat_Resmi	TRUE	audit	FALSE				
lan sebagaimana	dimaksud	dalam angka 1 huruf g paling sedikit meliputi ren	Surat_Resmi	TRUE	maksud	FALSE				
, selain melaksanakan pengawasan aktif sebagaimana	dimaksud	dalam butir I.A, Perusahaan perlu menambahkan pen	Surat_Resmi	TRUE	maksud	FALSE				
bali, dalam hal surat permintaan klarifikasi tidak	diterima	oleh pihak yang dinilai kembali pada alamat yang	Surat_Resmi	TRUE	terima	TRUE	oleh_phrase	animate	person	FALSE
a. tidak pernah	dihukum	penjara atau kurungan berdasarkan putusan pengadi	Surat_Resmi	TRUE	hukum	FALSE				
2. Permohonan persetujuan penutupan Kantor Cabang	diajukan	oleh BPR kepada Otoritas Jasa Keuangan dengan men	Surat_Resmi	TRUE	aju-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
ih risiko yang dapat	diasuransikan	yang timbul dari suatu	Surat_Resmi	TRUE	asuransi-kan	FALSE				
nilaian kemampuan dan kepatutan bagi calon anggota	Direksi	, anggota Dewan Komisaris, anggota DPS, dan/atau P	Surat_Resmi	FALSE						
dimuat kewajiban Perusahaan melakukan Customer Due	Dilligence	(CDD) atau Enhanced Due Dilligence	Surat_Resmi	FALSE						
dari satu jenis kegiatan ekonomi yang tidak dapat	dipisah-pisahkan	, cara penggolongannya dititikberatkan pa	Surat_Resmi	TRUE	pisah-kan	FALSE				
pembayaran sewa atau pajak sewa (dalam hal gedung	diperoleh	"dengan cara sewa);"	Surat_Resmi	TRUE	per-oleh	FALSE				
imbangkan senaua sisi dart operasi perusahaan yang	diperlukan	~	Surat_Resmi	TRUE	perlu-kan	FALSE				
a.	diserahkan	"langsung ke kantor OJK; atau"	Surat_Resmi	TRUE	serah-kan	FALSE				
rat Penunjukan atau Surat Perjanjian Keagenan yang	dikeluarkan	oleh Prin	Surat_Resmi	TRUE	keluar-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
n Keuangan Tahun 2018	ditutup	tanggal 31 Desember 2018, harus diterima Direktor	Surat_Resmi	TRUE	tutup	FALSE				
2. Surat Edaran	Direktur	Keuangan ITB Nomor 0768/I1.B02.1/KU/2016 tanggal	Surat_Resmi	FALSE						
ra luar jaringan (offline) sebagaimana sebagaimana	dimaksud	pada angka 5dimaksud pada angka 5, dibuktikan den	Surat_Resmi	TRUE	maksud	FALSE				
keputusan rapat yang diambil Dewan Komisaris dapat	diimplementasikan	dan sesuai dengan kebijakan, pedoman, serta tata	Surat_Resmi	TRUE	implementasi-kan	FALSE				
khir periode laporan. Kurs tengah adalah kurs jual	ditambah	kurs beli dibagi dua.	Surat_Resmi	TRUE	tambah	FALSE				
